# File: NCAR_SSP2_pop_state.csv
# Title: State-level Population Projections for US States for SSP2
# Units: persons
# Source: DATASET: Jiang et al. (2020). Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways (v0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3956412; PUBLICATION: Jiang et al. 2020. Population scenarios for U.S. states consistent with Shared Socioeconomic Pathways. Environmental Research Letters. https://doi.org/10.1088/1748-9326/aba5b1
# Column types: ciiiiiiiiiiii
# ----------
State,State_FIPS,SSP,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
Alabama,1000,2,4782789,5114853,5413995,5681848,5919702,6149142,6384080,6614426,6810295,6980436
Alaska,2000,2,708670,575970,517683,494349,488004,490746,498990,508831,518135,526497
Arizona,4000,2,6387700,7249349,8041183,8715427,9266287,9760573,10224866,10645262,10973100,11243591
Arkansas,5000,2,2917270,3150274,3379644,3592017,3783663,3970634,4154460,4327522,4475953,4606837
California,6000,2,37236690,39581096,41560908,43094693,44102725,44809269,45467702,46094977,46459828,46730352
Colorado,8000,2,5027370,5776416,6451501,7037017,7522410,7941307,8332606,8687198,8970160,9208019
Connecticut,9000,2,3582333,3635664,3675962,3689025,3670216,3639821,3625611,3638726,3636051,3624703
Delaware,10000,2,899240,1016695,1119640,1202405,1267527,1322590,1372122,1417555,1449915,1474302
District of Columbia,11000,2,602050,652464,695562,728100,752619,772320,789957,804862,815989,825742
Florida,12000,2,18795120,20084080,21259857,22256100,23010327,23678332,24365349,25073677,25591652,26004491
Georgia,13000,2,9689280,10745381,11675785,12464592,13108995,13672452,14194244,14688841,15105409,15454018
Hawaii,15000,2,1355130,1474148,1577224,1671886,1748044,1812594,1876950,1937161,1981772,2018593
Idaho,16000,2,1568850,1797632,2011576,2206694,2377595,2532746,2680011,2813349,2923269,3017964
Illinois,17000,2,12825090,13055641,13234380,13333240,13337830,13317387,13344562,13412842,13450073,13484248
Indiana,18000,2,6486510,6923631,7324650,7659899,7932762,8173524,8414005,8647890,8834150,8980925
Iowa,19000,2,3048680,3279721,3512812,3729893,3923579,4107718,4299579,4484538,4638036,4769672
Kansas,20000,2,2849550,3121076,3390714,3646481,3871586,4077793,4282165,4473532,4632394,4770259
Kentucky,21000,2,4337910,4668840,4965306,5225636,5449585,5661985,5877371,6089418,6270718,6424745
Louisiana,22000,2,4529330,4738711,4926903,5100817,5248972,5394263,5549653,5703720,5830940,5949847
Maine,23000,2,1330070,1350428,1367318,1373678,1373402,1375275,1387314,1409067,1423727,1433204
Maryland,24000,2,5770370,6172403,6522932,6817588,7046643,7234548,7420885,7612043,7751839,7869030
Massachusetts,25000,2,6545880,6856172,7127700,7329484,7455276,7536468,7623357,7732388,7785473,7816196
Michigan,26000,2,9889770,10064444,10197436,10267713,10297990,10325300,10409655,10543558,10638307,10696448
Minnesota,27000,2,5307340,5653297,5962837,6231840,6442529,6620224,6813124,7014430,7171858,7312181
Mississippi,28000,2,2968220,3125569,3270664,3399922,3513513,3622911,3735668,3847014,3941697,4022362
Missouri,29000,2,5990920,6461714,6902902,7308056,7665056,7996008,8330796,8657642,8926924,9158747
Montana,30000,2,990500,1065277,1137089,1204868,1266442,1325809,1388828,1449933,1499558,1542716
Nebraska,31000,2,1823410,1998282,2172220,2342350,2497290,2643907,2793736,2936595,3059366,3170238
Nevada,32000,2,2703320,3046879,3341908,3586032,3778621,3944502,4092310,4224121,4330128,4419690
New Hampshire,33000,2,1315280,1395190,1458333,1500498,1525725,1544184,1567955,1599013,1618649,1630179
New Jersey,34000,2,8789650,8737637,8650826,8514418,8312744,8095738,7925458,7823911,7723702,7637370
New Mexico,35000,2,2056780,2241630,2413575,2570360,2709511,2840839,2969460,3089556,3188930,3274901
New York,36000,2,19376040,19626711,19719464,19669793,19478251,19235900,19062887,18976902,18826181,18695278
North Carolina,37000,2,9538040,10695982,11776633,12708453,13484857,14170497,14803288,15388934,15868225,16258789
North Dakota,38000,2,672310,777968,875816,966396,1046727,1118830,1188756,1251843,1302039,1344833
Ohio,39000,2,11523780,11921708,12298150,12601630,12834363,13054658,13322048,13616731,13847978,14023665
Oklahoma,40000,2,3756650,4081506,4394057,4687883,4954004,5212779,5470009,5711717,5919178,6105118
Oregon,41000,2,3837590,4263508,4659798,5009865,5302538,5563574,5817068,6045458,6223730,6375086
Pennsylvania,42000,2,12688140,13227850,13722849,14115690,14403406,14637892,14903689,15194015,15378520,15502697
Rhode Island,44000,2,1050020,1100262,1143994,1177072,1199022,1214372,1233044,1256776,1270394,1278053
South Carolina,45000,2,4625150,5226940,5773552,6248874,6660967,7042266,7403327,7739285,8014647,8243557
South Dakota,46000,2,815810,877224,938749,1000519,1056687,1108773,1162115,1213583,1256584,1295144
Tennessee,47000,2,6351680,6871146,7343576,7755238,8109943,8444275,8774115,9095486,9367615,9599432
Texas,48000,2,25132430,28431349,31527670,34308844,36665269,38771205,40720084,42501689,44016768,45330963
Utah,49000,2,2764120,3307328,3826790,4318875,4764859,5173562,5553488,5893004,6188215,6449480
Vermont,50000,2,624390,636875,643067,644321,642430,641644,645816,654892,660249,662375
Virginia,51000,2,8007560,8886856,9648177,10305904,10850462,11311033,11735324,12136031,12447141,12703815
Washington,53000,2,6729570,7545226,8289784,8955271,9513095,10001240,10468484,10898241,11236587,11523688
West Virginia,54000,2,1856090,1853691,1856046,1856934,1861252,1876716,1905332,1940459,1971261,1996261
Wisconsin,55000,2,5684770,5952418,6181838,6352779,6459609,6539206,6638008,6752963,6828279,6882741
Wyoming,56000,2,565560,598759,631486,664908,696394,727081,759500,790186,816050,839222
